Price,Bedrooms,Bathrooms,Parkings,avg_size,Avg_income,Total population,lat,lng,Att/Row/Twnhouse,Attached,Co-Op Apt,Condo,Detached,Multiplex,Other,Semi-Detached,Garage,Avg_price_per_sqft
14.247410499950945,2.0,1.0986122886681098,0.6931471805599453,1299.5,11.719272745366851,9.600285668426311,43.68,-79.43,0,0,0,1,0,0,0,0,1,1185.21
13.705696808027874,2.0,1.0986122886681098,0.6931471805599453,949.5,11.03766001660279,8.316300249036848,43.77,-79.369,0,0,0,1,0,0,0,0,1,943.655
13.466805200907274,1.0,0.6931471805599453,0.6931471805599453,749.5,11.24737011439898,10.535955422284223,43.658,-79.384,0,0,0,1,0,0,0,0,1,941.428
13.593617474489168,2.0,0.6931471805599453,0.6931471805599453,849.5,12.034649484884913,8.610501368549889,43.64,-79.543,0,0,0,1,0,0,0,0,1,942.908
14.672051710061016,3.0,1.6094379124341003,1.3862943611198906,2403.797,12.140082404490327,8.783702698635217,43.725,-79.418,0,0,0,0,1,0,0,0,0,979.7
14.743730255960541,3.0,1.6094379124341003,2.1972245773362196,2610.098,11.334707477009012,8.216358332386156,43.767,-79.463,0,0,0,0,1,0,0,0,1,969.312
14.888805380528378,4.0,1.6094379124341003,0.6931471805599453,3241.632,11.353953179863753,9.904137341377625,43.67,-79.348,0,0,0,0,1,0,0,0,0,902.323
13.25339339419516,2.0,0.6931471805599453,0.6931471805599453,749.5,10.918899375278091,9.997342128007752,43.76,-79.194,0,0,0,1,0,0,0,0,1,760.507
14.159100971573958,3.0,1.0986122886681098,1.3862943611198906,1667.531,11.002832905780068,10.045768059792898,43.717,-79.247,0,0,0,0,1,0,0,0,1,845.561
14.580978865220017,4.0,1.6094379124341003,1.791759469228055,1750.0,11.173557038436915,9.041329829241901,43.762,-79.401,0,0,0,0,1,0,0,0,1,1228.571
13.88223512546044,2.0,1.0986122886681098,0.6931471805599453,1099.5,11.710505024153164,7.213768308118642,43.749,-79.406,0,0,0,1,0,0,0,0,1,972.26
13.112315061750808,0.0,0.6931471805599453,0.0,249.5,10.338770329053474,9.014325488050225,43.662,-79.361,0,0,0,1,0,0,0,0,1,1983.968
13.652992804936396,2.0,0.6931471805599453,0.6931471805599453,849.5,11.298654931742854,8.679312040892672,43.637,-79.402,0,0,0,1,0,0,0,0,1,1000.589
14.23750562376114,2.0,1.3862943611198906,0.6931471805599453,1299.5,11.370347561495587,10.361924545410398,43.654,-79.463,0,0,0,1,0,0,0,0,1,1173.528
14.062371417145494,3.0,1.3862943611198906,2.0794415416798357,1493.812,11.173065496459866,7.177782416195197,43.714,-79.545,0,0,0,0,1,0,0,0,1,856.868
13.933294482509151,3.0,0.6931471805599453,0.6931471805599453,1288.36,11.049587570271592,9.624170396415975,34.035,-118.459,0,0,0,0,1,0,0,0,0,873.203
13.89985262551525,3.0,1.0986122886681098,1.6094379124341003,1288.36,10.994756276448804,9.266248003914479,43.755,-79.565,0,0,0,0,0,0,0,1,0,844.484
13.870851599160298,3.0,1.0986122886681098,0.6931471805599453,1288.36,11.0431618069291,11.20576151377695,45.433,-75.689,0,0,0,0,1,0,0,0,0,820.345
14.205862705081111,3.0,1.0986122886681098,0.6931471805599453,1667.531,11.285045715555578,9.687257547490987,43.684,-79.293,0,0,0,0,0,0,0,1,0,886.04
13.732130035981154,2.0,1.0986122886681098,0.6931471805599453,900.0,10.88995711903153,8.846209127360996,43.679,-79.496,0,0,0,0,1,0,0,0,1,1022.222
14.759416845976386,3.0,1.3862943611198906,1.0986122886681098,2610.098,11.36773783010991,10.057152400080279,34.827,-82.379,0,0,0,0,1,0,0,0,1,984.637
14.272936037914342,3.0,1.0986122886681098,1.0986122886681098,1667.531,11.353953179863753,9.904137341377625,43.671,-79.335,0,0,0,0,1,0,0,0,1,947.509
14.159100971573958,3.0,1.3862943611198906,0.6931471805599453,1667.531,11.0431618069291,11.20576151377695,43.685,-79.347,1,0,0,0,0,0,0,0,0,845.561
14.902725138834374,4.0,1.3862943611198906,0.6931471805599453,2250.0,11.953751281888545,9.35079772467144,43.727,-79.395,0,0,0,0,1,0,0,0,0,1318.222
13.407543823396258,1.0,0.6931471805599453,0.6931471805599453,549.5,11.673836101858502,8.371704884667631,43.626,-79.478,0,0,0,1,0,0,0,0,1,1210.191
14.603968372873895,3.0,1.0986122886681098,0.6931471805599453,2303.468,11.953751281888545,9.35079772467144,28.663,-81.391,0,0,0,0,1,0,0,0,0,955.082
14.857552847877614,4.0,1.0986122886681098,1.3862943611198906,1750.0,11.554786919065146,8.0507033814703,43.645,-79.487,0,0,0,0,1,0,0,0,1,1620.0
13.698977865303197,2.0,1.0986122886681098,0.0,849.5,11.24737011439898,10.535955422284223,43.658,-79.374,0,0,0,1,0,0,0,0,1,1047.675
14.808769367986836,4.0,1.6094379124341003,1.791759469228055,2610.098,11.799794707164983,8.628376720376853,51.475,-0.207,0,0,0,0,1,0,0,0,1,1034.451
13.67854584967945,2.0,1.0986122886681098,0.6931471805599453,749.5,11.370347561495587,10.361924545410398,43.665,-79.471,0,0,0,1,0,0,0,0,1,1163.442
14.151983508870947,2.0,1.0986122886681098,1.3862943611198906,1493.812,11.488571295101657,9.711236864664288,43.645,-79.535,0,0,0,0,1,0,0,0,1,937.2
15.46416937585933,4.0,1.791759469228055,1.6094379124341003,4250.0,11.958636401646919,8.343077871169383,34.024,-118.231,0,0,0,0,1,0,0,0,1,1223.529
